Generation,Top Fitness,Mean Fitness,Run Time (s)
1,14,1.09765625,11.42256999
2,22,1.3125,12.75161791
3,24,1.6484375,13.70251894
4,24,1.6640625,13.68866825
5,23,1.99609375,13.63654947
6,22,1.84375,13.57151628
7,18,1.95703125,15.63606024
8,18,1.77734375,13.36351919
9,16,1.5859375,14.81751657
10,18,1.90625,14.87651873
11,16,2.078125,13.95608664
12,22,1.9609375,15.45400095
13,16,1.92578125,14.25603628
14,20,1.95703125,14.94606686
15,19,1.97265625,16.4975462
16,21,2.3671875,15.18551874
17,24,2.06640625,14.78999829
18,28,2.703125,18.74463916
19,23,2.703125,16.15903354
20,26,2.7265625,16.46903539
21,26,2.48828125,15.81304598
22,18,2.45703125,17.37425709
23,26,2.859375,16.30562401
24,26,2.765625,15.98851562
25,26,3.03515625,18.16561151
26,31,3.3046875,21.76152515
27,30,3.30859375,22.07800913
28,29,2.6640625,17.39635634
29,26,2.8359375,18.28551531
30,28,3.05859375,19.77678943
31,26,3.34375,19.75081682
32,28,2.9453125,17.8400619
33,28,3.140625,18.2965486
34,26,3.3984375,18.68503404
35,28,3.171875,18.04927468
36,28,3.63671875,21.46303153
37,28,3.14453125,20.76198673
38,29,4.58203125,21.23952484
39,33,3.25390625,20.67363262
40,31,3.875,22.04603601
41,27,3.50390625,17.92903423
42,31,3.62109375,19.50097299
43,34,2.60546875,17.28703856
44,34,4.09375,24.51503372
45,80,4.6640625,26.76234984
46,143,6,31.00803161
47,83,7.92578125,48.30430365
48,201,7.9609375,44.53907013
49,142,10.8984375,54.46888971
50,83,9.80078125,44.99619532
51,503,12.03125,60.37901545
52,82,11.0234375,59.7481482
53,82,9.3984375,50.87220979
54,97,10.9765625,61.15191364
55,143,8.5625,48.03426361
56,194,9.79296875,56.52764988
57,289,13.69921875,82.80792904
58,213,16.6796875,92.08536482
59,142,11.98046875,66.69095993
60,481,15.8515625,85.7017262
61,132,13.12109375,74.88170576
62,142,11.484375,63.35742307
63,290,14.1875,75.56854463
64,615,18.33203125,112.9893639
65,479,23.6171875,116.9930608
66,392,23.45703125,134.4653463
67,501,21.3125,117.7960577
68,502,19.9453125,90.50857806
69,897,37.48046875,171.7755411
70,502,26.19140625,123.4679499
71,898,21,110.227772
72,1500,126.0234375,224.0609307
73,1500,76.3125,210.718565
74,1500,82.44921875,250.6388998
